text,wakati_text
"TVでやってたよ💦
就活にもセクハラあるなんて😭 https://t.co/8WM5bSENcy",やる たよる 活 セクハラ ある
"尻は一応人事を生業としている。
就活してる皆。就活時点でセクハラしてくるような会社、その場でやめときな。もっといい会社があるよ！
就活生をホテルに誘うような馬鹿社員を雇ってる会社だよ？憧れの実態は、こんなクズ会社だったんだなと思った方が良い。

#就活セクハラ",尻 人事 生業 する いる 就活 する る 就活 時点 セクハラ する くる 会社 やめる とく いい 会社 ある 就活 生 ホテル 誘う 馬鹿だ 社員 雇う る 会社 憧れ 実態 クズ 会社 思う 方 良い 就活 セクハラ
"就活セクハラっていうのがあるらしい
こんな会社あるの？ https://t.co/3Ig83Ye2hr",就活 セクハラ いう の ある 会社 ある
"就活セクハラなんてするヤツいるんか。
変な男ばっかで、気持ち悪いな。",就活 セクハラ する ヤツ いる 変だ 男 気持ち 悪い
就活セクハラなんてされたことないけど😅,就活 セクハラ する れる こと ない
就活セクハラって最低,就活 セクハラ
就活セクハラ〜面接官が全裸〜,就活 セクハラ 面接 官 全裸
"就活セクハラ、モラハラは証拠をとってどんどん晒していけばいい。
日本はクソ老害経営層が多すぎる。
こんな奴らに高給払うなら、こいつらから高額の税金取って、若い世代は所得税免除にすりゃいいのに。",就活 セクハラ モラハラ 証拠 とる 晒す いく いい 日本 老 害 経営 層 多い すぎる 奴 ら 高給 払う こい つらい 高額だ 税金 取る 若い 世代 所得 税 免除 する いい
"#とくダネ 
就活セクハラか。。
カズレーザーさんの言うように戦った方がいいと思う。
面接官はともかく、OBなんかペーペーやねんから、セクハラ的発言されたら「人事にこのこと言います」って席を立てばいいと思うねんけど。",とく ダネ 就活 セクハラ カズレーザー さん 言う 戦う 方 いい 思う 面接 官 なん ねん セクハラ 的だ 発言 する れる 人事 こと 言う ます 席 立つ いい 思う
"よくよく思い出したら就活してた頃に聞かれてたな。結婚したら定住しますか？とか結婚について。

まだわかりませんって答えたけど、結局上手く対応してすればいいんだよ。
セクハラと騒ぐ前に自分のやりたいようにして後悔しない道を選べば良い。

 #就活セクハラ",思い出す 就活 する たい 頃 聞く れる たい 結婚 する 定住 する ます 結婚 つく わかる ます 答える 上手い 対応 する する いい セクハラ 騒ぐ 前 自分 やる たい する 後悔 する ない 道 選ぶ 良い 就活 セクハラ
就活セクハラなんてものがあるのか…嫌だな…,就活 セクハラ もの ある 嫌だ
就活セクハラの会見動画見たけどあんな自己主張の激しくて自我が強い女とか面倒すぎて採る会社なんてないでしょ,就活 セクハラ 会見 動画 見る 自己 主張 激しい 自我 強い 女 面倒だ すぎる 採る 会社 ない
就活セクハラ「もう黙らない」大学生たちが緊急声明を発表 https://t.co/evtyF0K4az,就活 セクハラ 黙る ない 大学生 たち 緊急だ 声明 発表
"訳であって、この世の中って大分と生きづらいなと思うようになって、でも根幹にあるのは日本の現行の雇用制度にある訳で、もっとフランクに転職とかできる世の中になったり終身雇用が正義とかいう考えが少しでも変わったら

まぁつまり、今の雇用環境、就活環境ならセクハラは仕方ないってことですね。",訳 世の中 生きる づらい 思う なる 根幹 ある の 日本 現行 雇用 制度 ある 訳 フランクだ 転職 できる 世の中 なる 終身 雇用 正義 いう 考え 変わる 今 雇用 環境 就活 環境 セクハラ 仕方ない こと
就活セクハラ「もう黙らない」大学生たちが緊急声明を発表 https://t.co/rk1pSVnhWy,就活 セクハラ 黙る ない 大学生 たち 緊急だ 声明 発表
"就活セクハラがトレンドになってるけど人事も大変やなぁ

まぁ、おれならなーんでも答えるけどね！←",就活 セクハラ トレンド なる る 人事 大変だ なま おれ 答える
"日本のために企業名を出して欲しい。
時代遅れ勘違い野郎を白日のもとに晒すべき。
就活セクハラ「もう黙らない」大学生たちが緊急声明を発表（ハフポスト日本版） - Yahoo!ニュース https://t.co/1hPVZlPIHv",日本 ため 企業 名 出す 欲しい 時代遅れだ 勘違い 野郎 白日 もと 晒す 就活 セクハラ 黙る ない 大学生 たち 緊急だ 声明 発表 ハフ ポスト 日本 版 ニュース
"【編集日誌から2】
厚労省がまとめたハラスメント防止の指針では、#就活 する学生への #セクハラ、#パワハラ は防げません。「もう泣き寝入りはしたくない」。6つの大学の学生らでつくるネットワークが声を上げました。こちらも１面です。
2019/12/3 https://t.co/vE7wRS0oIp",編集 日誌 2 厚労 省 まとめる ハラスメント 防止 指針 就活 する 学生 セクハラ パワハラ 防げる ます 泣き寝入り する たい ない 6 つ 大学 学生 ら つくる ネットワーク 声 上げる ます １ 面 2019 12
就活セクハラしてくる会社は自分から取り下げて、面接担当者の名前をコールセンターとかで出した方がいいまじで,就活 セクハラ する くる 会社 自分 取り下げる 面接 担当 者 名前 コール センター 出す 方 いい まじる
社名出していいと思うぞ。→就活におけるセクハラ「独身の男、よりどりみどりだぞ」　大学生有志、根絶訴え|弁護士ドットコムニュース https://t.co/gdthDixbwp @bengo4topicsから,社名 出す いい 思う 就活 おける セクハラ 独身 男 よりどり みどり 大学生 有志 根絶 訴える 弁護 士 4
"@ryu_tea_ @qooniangniang @yamabukinosato 別に""世界で4番目""を証明するために載せたものではありませんよ？
難民受け入れの現状を表した図を参考程度にあげただけです。",別だ 世界 4 番 目 証明 する ため 載せる もの ある ます 難民 受け入れ 現状 表す 図 参考 程度 あげる
就活セクハラ、ダメ、ゼッタイ。だけど…、会見のイキったサングラスは…誰…。 #ntv #newszero,就活 セクハラ ダメだ ゼッタイ 会見 イキだ る サングラス 誰
“就活セクハラ横行”　学生らが緊急声明 #SmartNews  https://t.co/zeJebonGYm,就活 セクハラ 横行 学生 ら 緊急だ 声明
"RT @Fa_Fadayo: 就活セクハラとかあるのか。
そんなエロ親父が働く企業は潰れろ
大手だからとかもう時代に合わないよね。",就活 セクハラ ある エロ 親父 働く 企業 潰れる 大手 かもい 時代 合う ない
"@KATZ1126 就活セクハラに限らず、セクハラは絶対にいけないことです。
ただし、ごく一部だとすれば社会問題化するのは誤りだと思います。
無関係なところで大きな波風を立て、無関係な人たちに大きな弊害が出てしまいます。

ごく一部だとすれば、その人たちを告発することが一番適切な対応です。",就活 セクハラ 限る セクハラ いけない こと 一部 する 社会 問題 化 する の 誤り 思う ます 無関係だ ところ 波風 立てる 無関係だ 人 たち 弊害 出る しまう ます 一部 する 人 たち 告発 する こと 適切だ 対応
RT @teddybearbutler: 就活セクハラの大学生、慶応とかICUみたいなとこでプライドだけが肥大化してこの世に産み落とされたモンスターなのかな・・,就活 セクハラ 大学生 慶応 み たい とこ プライド 肥大 化 する この世 産む 落とす れる モンスター
就活セクハラのなんか動画流れてだけど、？？？？が複数人と😍が一人いた。,就活 セクハラ なんか 動画 流れる 複数 人 一 人 いる
トクダネの就活セクハラで、梅沢富美男が怒ってるけど、本人がやってそうだよねw,就活 セクハラ 梅沢 富美男 怒る る 本人 やる そうだ
RT @i_tkst: SAY（Safe Campus Youth Network)は東大・早稲田・慶應・上智・ICU・創価大学など、セクハラや性的同意について声を上げてきた学生たちが、学校の枠を超えて連帯した団体です。先の国会のハラスメント関連の法改正の際、就活生へのハラスメ…,東大 早稲田 慶應 上智 創価 大学 セクハラ 性 的だ 同意 つく 声 上げる くる 学生 たち 学校 枠 超える 連帯 する 団体 先 国会 ハラスメント 関連 法 改正 際 就活 生
RT @hahaguma: ローマ教皇　日本に「難民の受け入れを」 https://t.co/4zk73wMUJY,
就活セクハラされたら、そんな会社やめとけと思うしそれでも入りたければオッサンと飲むとき録音オンにしてればいいと思う,就活 セクハラ する れる 会社 やめる とく 思う 入る たい オッサン 飲む とき 録音 オン する る いい 思う
"就活セクハラのニュース。
すぐ結婚しないでね、といわれるのは職種によっては仕方ない気がする。それ以外は論外だけど。",就活 セクハラ ニュース 結婚 する いう れる の 職種 よる 仕方ない 気 する 以外 論外だ
就活セクハラて…どこまでもチンコに支配されてんだな男の人。かわいそう。でも女から男性へのセクハラも絶対あるしな。何やってんだか,就活 セクハラ て チンコ 支 配す れる る 男 人 い す うむ 女 ら 男 性 セクハラ 絶す 対 ある る 何 う る
